domain_name, registrar, orginization, name, address, city, state, zip_code, country_name
"mowers4less.com","ENOM, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","NC","None","US"
"freeblackday.gq","None","None","None","None","None","None","None","None"
"fcc.net","CSC CORPORATE DOMAINS, INC.","Earthlink Inc","Hostmaster -","1375 Peachtree St,","Atlanta","GA","None","US"
"111-tataidc.co.in","Dynadot LLC","None","None","None","None","Delaware","None","US"
"iconpln.net.id","PANDI Registrar","None","None","None","None","None","None","None"
"fiber.net","ENOM, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","UT","None","US"
"conectsul.com.br","None","None","None","None","None","None","None","BR"
"carecredit.bt","None","None","None","None","None","None","None","None"
"hostdatasecure.net","PDR Ltd. d/b/a PublicDomainRegistry.com","HostRivers.Com","HostRivers.Com","4/67,7-8, First Floor, Thangavelu Complex, Edayarpalayam Main Road, Kuniyamuthur Post,","Coimbatore","Tamil Nadu","None","IN"
"bfhg.com.au","Domain Directors Pty Ltd trading as Instra","None","None","None","None","None","None","None"
"aruba.it","Aruba s.p.a.","None","None","None","None","None","None","None"
"cloudmailstore.com","TUCOWS, INC.","Contact Privacy Inc. Customer 0129800801","Contact Privacy Inc. Customer 0129800801","96 Mowat Ave","Toronto","ON","None","CA"
"iplocal.","None","None","None","None","None","None","None","None"
"ocn.ne.jp","None","None","None","None","None","None","None","None"
"auth.gr","None","None","None","None","None","None","None","None"
"scu.edu.tw","None","None","None","None","None","None","None","None"
"mclink.it","Irideos s.p.a.","None","None","None","None","None","None","None"
"seoboxes.com","Domain.com, LLC","The Endurance International Group, Inc.","Domain Manager","10 Corporate Drive Suite 300","Burlington","MA","None","US"
"sekershell.com","PDR Ltd. d/b/a PublicDomainRegistry.com","SEKERSHELL INTERNET HIZMETLERI","Mehmet ÇELİK","Seviller mahallesi atatürk bulvarı alt yol 17/b","gerede","Bolu","None","TR"
"myserverhosts.com","Domain.com, LLC","The Endurance International Group, Inc.","Domain Manager","10 Corporate Drive Suite 300","Burlington","MA","None","US"
"mgklogistics.com","TUCOWS, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Arizona","None","US"
